step,fish_left,caught_this_step,caught_cum
0,300,0,0
1,300,0,0
2,300,0,0
3,300,0,0
4,300,0,0
5,300,0,0
6,300,0,0
7,300,0,0
8,300,0,0
9,300,0,0
10,300,0,0
11,300,0,0
12,300,0,0
13,300,0,0
14,300,0,0
15,300,0,0
16,300,0,0
17,300,0,0
18,300,0,0
19,300,0,0
20,300,0,0
21,300,0,0
22,300,0,0
23,300,0,0
24,300,0,0
25,300,0,0
26,300,0,0
27,300,0,0
28,300,0,0
29,300,0,0
30,300,0,0
31,300,0,0
32,300,0,0
33,300,0,0
34,300,0,0
35,300,0,0
36,300,0,0
37,300,0,0
38,300,0,0
39,300,0,0
40,300,0,0
41,300,0,0
42,300,0,0
43,300,0,0
44,300,0,0
45,300,0,0
46,300,0,0
47,300,0,0
48,300,0,0
49,300,0,0
50,300,0,0
51,300,0,0
52,300,0,0
53,300,0,0
54,300,0,0
55,300,0,0
56,300,0,0
57,300,0,0
58,300,0,0
59,300,0,0
60,300,0,0
61,300,0,0
62,300,0,0
63,300,0,0
64,300,0,0
65,300,0,0
66,300,0,0
67,300,0,0
68,300,0,0
69,300,0,0
70,300,0,0
71,300,0,0
72,300,0,0
73,300,0,0
74,300,0,0
75,300,0,0
76,300,0,0
77,300,0,0
78,300,0,0
79,300,0,0
80,300,0,0
81,300,0,0
82,300,0,0
83,300,0,0
84,300,0,0
85,300,0,0
86,300,0,0
87,300,0,0
88,300,0,0
89,300,0,0
90,300,0,0
91,300,0,0
92,300,0,0
93,300,0,0
94,300,0,0
95,300,0,0
96,300,0,0
97,300,0,0
98,300,0,0
99,300,0,0
100,300,0,0
101,300,0,0
102,300,0,0
103,300,0,0
104,300,0,0
105,300,0,0
106,300,0,0
107,300,0,0
108,300,0,0
109,300,0,0
110,300,0,0
111,300,0,0
112,300,0,0
113,300,0,0
114,300,0,0
115,300,0,0
116,300,0,0
117,300,0,0
118,300,0,0
119,300,0,0
120,300,0,0
121,300,0,0
122,300,0,0
123,300,0,0
124,299,1,1
125,299,0,1
126,298,1,2
127,298,0,2
128,298,0,2
129,298,0,2
130,297,1,3
131,297,0,3
132,297,0,3
133,297,0,3
134,297,0,3
135,297,0,3
136,297,0,3
137,297,0,3
138,297,0,3
139,297,0,3
140,297,0,3
141,297,0,3
142,297,0,3
143,297,0,3
144,297,0,3
145,297,0,3
146,297,0,3
147,297,0,3
148,297,0,3
149,297,0,3
150,297,0,3
151,296,1,4
152,296,0,4
153,296,0,4
154,296,0,4
155,296,0,4
156,296,0,4
157,296,0,4
158,296,0,4
159,296,0,4
160,296,0,4
161,296,0,4
162,296,0,4
163,296,0,4
164,295,1,5
165,294,1,6
166,293,1,7
167,293,0,7
168,293,0,7
169,293,0,7
170,293,0,7
171,293,0,7
172,293,0,7
173,293,0,7
174,293,0,7
175,293,0,7
176,293,0,7
177,293,0,7
178,293,0,7
179,293,0,7
180,293,0,7
181,293,0,7
182,293,0,7
183,293,0,7
184,293,0,7
185,293,0,7
186,293,0,7
187,293,0,7
188,293,0,7
189,293,0,7
190,293,0,7
191,293,0,7
192,293,0,7
193,293,0,7
194,293,0,7
195,293,0,7
196,293,0,7
197,293,0,7
198,293,0,7
199,293,0,7
200,293,0,7
201,293,0,7
202,293,0,7
203,293,0,7
204,293,0,7
205,293,0,7
206,293,0,7
207,293,0,7
208,293,0,7
209,293,0,7
210,293,0,7
211,293,0,7
212,293,0,7
213,293,0,7
214,293,0,7
215,293,0,7
216,293,0,7
217,293,0,7
218,293,0,7
219,293,0,7
220,293,0,7
221,293,0,7
222,293,0,7
223,293,0,7
224,293,0,7
225,293,0,7
226,293,0,7
227,293,0,7
228,293,0,7
229,293,0,7
230,293,0,7
231,293,0,7
232,293,0,7
233,293,0,7
234,293,0,7
235,293,0,7
236,293,0,7
237,293,0,7
238,293,0,7
239,293,0,7
240,293,0,7
241,293,0,7
242,293,0,7
243,293,0,7
244,293,0,7
245,293,0,7
246,293,0,7
247,293,0,7
248,293,0,7
249,293,0,7
250,293,0,7
251,293,0,7
252,293,0,7
253,293,0,7
254,293,0,7
255,293,0,7
256,293,0,7
257,293,0,7
258,293,0,7
259,293,0,7
260,293,0,7
261,293,0,7
262,293,0,7
263,293,0,7
264,293,0,7
265,292,1,8
266,292,0,8
267,292,0,8
268,292,0,8
269,292,0,8
270,292,0,8
271,292,0,8
272,292,0,8
273,292,0,8
274,292,0,8
275,292,0,8
276,292,0,8
277,292,0,8
278,292,0,8
279,292,0,8
280,292,0,8
281,292,0,8
282,292,0,8
283,292,0,8
284,292,0,8
285,292,0,8
286,292,0,8
287,292,0,8
288,292,0,8
289,292,0,8
290,292,0,8
291,292,0,8
292,292,0,8
293,292,0,8
294,292,0,8
295,292,0,8
296,292,0,8
297,292,0,8
298,292,0,8
299,292,0,8
300,292,0,8
301,292,0,8
302,292,0,8
303,291,1,9
304,291,0,9
305,290,1,10
306,290,0,10
307,290,0,10
308,289,1,11
309,287,2,13
310,287,0,13
311,287,0,13
312,287,0,13
313,287,0,13
314,287,0,13
315,287,0,13
316,287,0,13
317,287,0,13
318,287,0,13
319,287,0,13
320,287,0,13
321,287,0,13
322,287,0,13
323,287,0,13
324,287,0,13
325,287,0,13
326,287,0,13
327,287,0,13
328,287,0,13
329,287,0,13
330,287,0,13
331,287,0,13
332,287,0,13
333,287,0,13
334,287,0,13
335,287,0,13
336,287,0,13
337,287,0,13
338,287,0,13
339,287,0,13
340,287,0,13
341,287,0,13
342,287,0,13
343,287,0,13
344,287,0,13
345,287,0,13
346,287,0,13
347,287,0,13
348,287,0,13
349,287,0,13
350,287,0,13
351,287,0,13
352,287,0,13
353,287,0,13
354,287,0,13
355,287,0,13
356,287,0,13
357,287,0,13
358,287,0,13
359,287,0,13
360,287,0,13
361,287,0,13
362,287,0,13
363,287,0,13
364,287,0,13
365,287,0,13
366,287,0,13
367,287,0,13
368,287,0,13
369,287,0,13
370,287,0,13
371,287,0,13
372,287,0,13
373,287,0,13
374,287,0,13
375,287,0,13
376,287,0,13
377,287,0,13
378,287,0,13
379,287,0,13
380,287,0,13
381,287,0,13
382,287,0,13
383,287,0,13
384,287,0,13
385,287,0,13
386,287,0,13
387,287,0,13
388,287,0,13
389,287,0,13
390,287,0,13
391,287,0,13
392,287,0,13
393,287,0,13
394,287,0,13
395,287,0,13
396,287,0,13
397,287,0,13
398,287,0,13
399,287,0,13
400,287,0,13
401,287,0,13
402,287,0,13
403,287,0,13
404,287,0,13
405,287,0,13
406,287,0,13
407,287,0,13
408,287,0,13
409,287,0,13
410,287,0,13
411,287,0,13
412,287,0,13
413,287,0,13
414,287,0,13
415,287,0,13
416,287,0,13
417,287,0,13
418,287,0,13
419,287,0,13
420,287,0,13
421,287,0,13
422,287,0,13
423,287,0,13
424,287,0,13
425,287,0,13
426,287,0,13
427,287,0,13
428,287,0,13
429,287,0,13
430,287,0,13
431,287,0,13
432,287,0,13
433,287,0,13
434,287,0,13
435,287,0,13
436,287,0,13
437,287,0,13
438,287,0,13
439,287,0,13
440,287,0,13
441,287,0,13
442,287,0,13
443,287,0,13
444,287,0,13
445,287,0,13
446,287,0,13
447,287,0,13
448,287,0,13
449,287,0,13
450,287,0,13
451,287,0,13
452,287,0,13
453,287,0,13
454,287,0,13
455,287,0,13
456,287,0,13
457,287,0,13
458,287,0,13
459,287,0,13
460,287,0,13
461,287,0,13
462,287,0,13
463,287,0,13
464,286,1,14
465,286,0,14
466,286,0,14
467,286,0,14
468,286,0,14
469,286,0,14
470,286,0,14
471,286,0,14
472,286,0,14
473,286,0,14
474,286,0,14
475,286,0,14
476,286,0,14
477,285,1,15
478,284,1,16
479,284,0,16
480,283,1,17
481,283,0,17
482,283,0,17
483,283,0,17
484,283,0,17
485,283,0,17
486,283,0,17
487,283,0,17
488,283,0,17
489,283,0,17
490,283,0,17
491,283,0,17
492,283,0,17
493,283,0,17
494,283,0,17
495,283,0,17
496,283,0,17
497,283,0,17
498,283,0,17
499,283,0,17
500,283,0,17
501,283,0,17
502,283,0,17
503,283,0,17
504,283,0,17
505,283,0,17
506,283,0,17
507,283,0,17
508,283,0,17
509,283,0,17
510,283,0,17
511,283,0,17
512,283,0,17
513,283,0,17
514,283,0,17
515,283,0,17
516,283,0,17
517,283,0,17
518,283,0,17
519,283,0,17
520,283,0,17
521,283,0,17
522,283,0,17
523,283,0,17
524,283,0,17
525,283,0,17
526,283,0,17
527,283,0,17
528,283,0,17
529,283,0,17
530,283,0,17
531,283,0,17
532,283,0,17
533,283,0,17
534,283,0,17
535,283,0,17
536,283,0,17
537,283,0,17
538,283,0,17
539,283,0,17
540,283,0,17
541,283,0,17
542,283,0,17
543,283,0,17
544,283,0,17
545,283,0,17
546,283,0,17
547,283,0,17
548,283,0,17
549,283,0,17
550,283,0,17
551,283,0,17
552,283,0,17
553,283,0,17
554,283,0,17
555,283,0,17
556,283,0,17
557,283,0,17
558,283,0,17
559,283,0,17
560,283,0,17
561,283,0,17
562,283,0,17
563,283,0,17
564,283,0,17
565,283,0,17
566,283,0,17
567,283,0,17
568,283,0,17
569,283,0,17
570,283,0,17
571,283,0,17
572,283,0,17
573,283,0,17
574,283,0,17
575,283,0,17
576,283,0,17
577,282,1,18
578,282,0,18
579,282,0,18
580,282,0,18
581,282,0,18
582,282,0,18
583,282,0,18
584,281,1,19
585,281,0,19
586,281,0,19
587,281,0,19
588,281,0,19
589,281,0,19
590,281,0,19
591,281,0,19
592,281,0,19
593,281,0,19
594,281,0,19
595,281,0,19
596,281,0,19
597,281,0,19
598,281,0,19
599,281,0,19
600,281,0,19
601,281,0,19
602,281,0,19
603,281,0,19
604,281,0,19
605,281,0,19
606,281,0,19
607,281,0,19
608,281,0,19
609,281,0,19
610,281,0,19
611,281,0,19
612,281,0,19
613,281,0,19
614,281,0,19
615,281,0,19
616,281,0,19
617,281,0,19
618,281,0,19
619,281,0,19
620,281,0,19
621,281,0,19
622,281,0,19
623,281,0,19
624,281,0,19
625,281,0,19
626,281,0,19
627,281,0,19
628,281,0,19
629,281,0,19
630,281,0,19
631,281,0,19
632,281,0,19
633,281,0,19
634,281,0,19
635,281,0,19
636,281,0,19
637,281,0,19
638,281,0,19
639,281,0,19
640,281,0,19
641,281,0,19
642,281,0,19
643,281,0,19
644,281,0,19
645,281,0,19
646,281,0,19
647,281,0,19
648,281,0,19
649,281,0,19
650,281,0,19
651,281,0,19
652,281,0,19
653,281,0,19
654,281,0,19
655,281,0,19
656,281,0,19
657,281,0,19
658,281,0,19
659,281,0,19
660,281,0,19
661,281,0,19
662,281,0,19
663,281,0,19
664,281,0,19
665,281,0,19
666,281,0,19
667,281,0,19
668,281,0,19
669,281,0,19
670,281,0,19
671,281,0,19
672,281,0,19
673,281,0,19
674,281,0,19
675,281,0,19
676,281,0,19
677,281,0,19
678,281,0,19
679,281,0,19
680,281,0,19
681,281,0,19
682,280,1,20
683,280,0,20
684,280,0,20
685,280,0,20
686,280,0,20
687,280,0,20
688,280,0,20
689,280,0,20
690,280,0,20
691,280,0,20
692,280,0,20
693,280,0,20
694,280,0,20
695,280,0,20
696,280,0,20
697,280,0,20
698,280,0,20
699,280,0,20
700,280,0,20
701,280,0,20
702,280,0,20
703,280,0,20
704,280,0,20
705,280,0,20
706,280,0,20
707,280,0,20
708,280,0,20
709,280,0,20
710,280,0,20
711,280,0,20
712,280,0,20
713,280,0,20
714,280,0,20
715,280,0,20
716,280,0,20
717,280,0,20
718,280,0,20
719,280,0,20
720,280,0,20
721,280,0,20
722,280,0,20
723,280,0,20
724,280,0,20
725,280,0,20
726,280,0,20
727,280,0,20
728,280,0,20
729,280,0,20
730,280,0,20
731,280,0,20
732,280,0,20
733,280,0,20
734,280,0,20
735,280,0,20
736,280,0,20
737,280,0,20
738,280,0,20
739,280,0,20
740,280,0,20
741,280,0,20
742,280,0,20
743,280,0,20
744,280,0,20
745,280,0,20
746,280,0,20
747,280,0,20
748,280,0,20
749,280,0,20
750,280,0,20
751,280,0,20
752,280,0,20
753,280,0,20
754,280,0,20
755,280,0,20
756,280,0,20
757,280,0,20
758,280,0,20
759,280,0,20
760,280,0,20
761,280,0,20
762,280,0,20
763,280,0,20
764,280,0,20
765,280,0,20
766,280,0,20
767,280,0,20
768,280,0,20
769,280,0,20
770,280,0,20
771,280,0,20
772,280,0,20
773,280,0,20
774,280,0,20
775,280,0,20
776,280,0,20
777,280,0,20
778,280,0,20
779,280,0,20
780,280,0,20
781,279,1,21
782,279,0,21
783,278,1,22
784,276,2,24
785,274,2,26
786,273,1,27
787,273,0,27
788,273,0,27
789,273,0,27
790,273,0,27
791,273,0,27
792,273,0,27
793,273,0,27
794,273,0,27
795,273,0,27
796,273,0,27
797,273,0,27
798,273,0,27
799,273,0,27
